source_row,source_numero,sede,dependencia,subdependencia,marca,modelo,tipo_impresora,serie,codigo_inventario,codigo_patrimonial,tipo_conexion,ip,hostname_origen,modelo_toner_negro,modelo_toner_c,modelo_toner_m,modelo_toner_y,estado,status,observaciones
2,156,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,KONICA MINOLTA,BIZHUB C360I,Fotocopiadora multifuncional,AA2J041008871,202408441,,IP,172.16.23.33,,,,,,Activa,IMPORTAR,
3,88,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,KONICA MINOLTA,BIZHUB 363,Fotocopiadora multifuncional,A1UE041104348,202406682,,IP,172.16.10.252,,TN-414,,,,Activa,IMPORTAR,
4,48,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Supervision y Monitoreo,KONICA MINOLTA,BIZHUB 363,Fotocopiadora multifuncional,A1UE041114655,202405462,74222358-0298,IP,172.16.10.32,,,,,,Activa,IMPORTAR,
5,74,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,,KONICA MINOLTA,BIZHUB 363,Fotocopiadora multifuncional,A1UE041114301,202410833,742223580069,IP,172.16.23.173,,,,,,Activa,IMPORTAR,
6,82,Sede Central,Oficina de Gestion de Recursos Humanos,,KONICA MINOLTA,BIZHUB 363,Fotocopiadora multifuncional,A1UE041114570,202405993,,USB,,,,,,,En mantenimiento,IMPORTAR,
7,163,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,KONICA MINOLTA,BIZHUB 363,Fotocopiadora multifuncional,A1UE041105892,202415193,,USB,,,,,,,En mantenimiento,IMPORTAR,
8,172,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,KONICA MINOLTA,BIZHUB 363,Fotocopiadora multifuncional,,202412708,74222726-0023,USB,,,,,,,En mantenimiento,IMPORTAR,
9,96,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000660,202407128,,IP,172.16.23.142,,TN-323,,,,Activa,IMPORTAR,
10,41,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Normatividad de la Innovacion Agraria,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000620,202419526,74222358-0109,IP,172.16.23.166,,,,,,Activa,IMPORTAR,
11,164,Sede Central,Direccion de Servicios Estrategicos Agrarios,,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000815,202409494,742223580083,IP,172.16.23.9,,,,,,Activa,IMPORTAR,
12,133,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Productos Agrarios,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000646,202412751,,IP,172.16.5.169,,,,,,Activa,IMPORTAR,
13,51,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Extension Agropecuario,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000577,202409101,,IP,172.16.5.173,,,,,,Activa,IMPORTAR,
14,30,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Promocion de la Innovacion Agraria,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000482,202412109,,IP,172.16.5.206,,TN-323,,,,Activa,IMPORTAR,
15,34,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Promocion de la Innovacion Agraria,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000613,202411755,,IP,172.16.5.207,,,,,,Activa,IMPORTAR,
16,32,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Promocion de la Innovacion Agraria,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000486,202412347,,IP,172.16.5.210,,,,,,Activa,IMPORTAR,
17,83,Sede Central,Oficina de Gestion de Recursos Humanos,Secretaria Tecnica,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000598,202419777,,USB,,,,,,,En mantenimiento,IMPORTAR,
18,89,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000373,202407120,,USB,,,TN-323,,,,En mantenimiento,IMPORTAR,
19,162,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,KONICA MINOLTA,BIZHUB 367,Fotocopiadora multifuncional,A789041000418,202415200,,USB,,,,,,,En mantenimiento,IMPORTAR,
20,109,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,KONICA MINOLTA,BIZHUB 650I,Fotocopiadora multifuncional,AC74041000595,202408121,,IP,172.16.22.165,,,,,,Activa,IMPORTAR,
21,63,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,,KONICA MINOLTA,BIZHUB 650I,Fotocopiadora multifuncional,AC74047700242,,742223580402,IP,172.16.23.165,,,,,,Activa,IMPORTAR,
22,134,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,KONICA MINOLTA,BIZHUB 650I,Fotocopiadora multifuncional,AC74041000155,202407796,,IP,172.16.23.59,,,,,,Activa,IMPORTAR,
23,62,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,,KONICA MINOLTA,BIZHUB 650I,Fotocopiadora multifuncional,AC74041000254,202410598,74222358-0278,IP,172.16.23.69,,,,,,Activa,IMPORTAR,
24,69,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,Subdireccion de Recursos Geneticos,KONICA MINOLTA,BIZHUB 650I,Fotocopiadora multifuncional,AC74041000843,202410289,74222358-0312,IP,172.16.23.88,,,,,,Activa,IMPORTAR,
25,72,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,,KONICA MINOLTA,BIZHUB 650I,Fotocopiadora multifuncional,AC74041000871,202410123,74222358-0313,IP,172.16.23.89,,,,,,Activa,IMPORTAR,
