source_row,source_numero,marca,modelo,excel_N,excel_SERIE,excel_COD_INVENTARIO,excel_COD_INV_2024,destino_serie,destino_codigo_inventario,destino_codigo_patrimonial
2,156,KONICA MINOLTA,BIZHUB C360I,156,AA2J041008871,,202408441,AA2J041008871,,202408441
3,88,KONICA MINOLTA,BIZHUB 363,88,A1UE041104348,,202406682,A1UE041104348,,202406682
4,48,KONICA MINOLTA,BIZHUB 363,48,A1UE041114655,74222358-0298,202405462,A1UE041114655,74222358-0298,202405462
5,74,KONICA MINOLTA,BIZHUB 363,74,A1UE041114301,742223580069,202410833,A1UE041114301,742223580069,202410833
6,82,KONICA MINOLTA,BIZHUB 363,82,A1UE041114570,,202405993,A1UE041114570,,202405993
7,163,KONICA MINOLTA,BIZHUB 363,163,A1UE041105892,,202415193,A1UE041105892,,202415193
8,172,KONICA MINOLTA,BIZHUB 363,172,,74222726-0023,202412708,,74222726-0023,202412708
9,96,KONICA MINOLTA,BIZHUB 367,96,A789041000660,,202407128,A789041000660,,202407128
10,41,KONICA MINOLTA,BIZHUB 367,41,A789041000620,74222358-0109,202419526,A789041000620,74222358-0109,202419526
11,164,KONICA MINOLTA,BIZHUB 367,164,A789041000815,742223580083,202409494,A789041000815,742223580083,202409494
12,133,KONICA MINOLTA,BIZHUB 367,133,A789041000646,,202412751,A789041000646,,202412751
13,51,KONICA MINOLTA,BIZHUB 367,51,A789041000577,,202409101,A789041000577,,202409101
14,30,KONICA MINOLTA,BIZHUB 367,30,A789041000482,,202412109,A789041000482,,202412109
15,34,KONICA MINOLTA,BIZHUB 367,34,A789041000613,,202411755,A789041000613,,202411755
16,32,KONICA MINOLTA,BIZHUB 367,32,A789041000486,,202412347,A789041000486,,202412347
17,83,KONICA MINOLTA,BIZHUB 367,83,A789041000598,,202419777,A789041000598,,202419777
18,89,KONICA MINOLTA,BIZHUB 367,89,A789041000373,,202407120,A789041000373,,202407120
19,162,KONICA MINOLTA,BIZHUB 367,162,A789041000418,,202415200,A789041000418,,202415200
20,109,KONICA MINOLTA,BIZHUB 650I,109,AC74041000595,,202408121,AC74041000595,,202408121
21,63,KONICA MINOLTA,BIZHUB 650I,63,AC74047700242,742223580402,,AC74047700242,742223580402,
22,134,KONICA MINOLTA,BIZHUB 650I,134,AC74041000155,,202407796,AC74041000155,,202407796
23,62,KONICA MINOLTA,BIZHUB 650I,62,AC74041000254,74222358-0278,202410598,AC74041000254,74222358-0278,202410598
24,69,KONICA MINOLTA,BIZHUB 650I,69,AC74041000843,74222358-0312,202410289,AC74041000843,74222358-0312,202410289
25,72,KONICA MINOLTA,BIZHUB 650I,72,AC74041000871,74222358-0313,202410123,AC74041000871,74222358-0313,202410123
26,66,KONICA MINOLTA,BIZHUB 650I,66,AC74041000726,742223580311,202410718,AC74041000726,742223580311,202410718
27,137,KONICA MINOLTA,BIZHUB 650I,137,AC74041000586,,202408107,AC74041000586,,202408107
28,138,KONICA MINOLTA,BIZHUB 658E,138,AA6R041001576,74222358-0156,202408106,AA6R041001576,74222358-0156,202408106
29,95,KONICA MINOLTA,BIZHUB 658E,95,AA6R041000999,74222358-0153,202406290,AA6R041000999,74222358-0153,202406290
30,84,KONICA MINOLTA,BIZHUB 658E,84,AA6R041001023,74222358-0152,202406653,AA6R041001023,74222358-0152,202406653
31,148,KONICA MINOLTA,BIZHUB 658E,148,AA6R041001479,74222358-0157,202408581,AA6R041001479,74222358-0157,202408581
32,91,KONICA MINOLTA,BIZHUB 658E,91,AA6R041000907,74222358-0151,202409196,AA6R041000907,74222358-0151,202409196
33,141,KONICA MINOLTA,BIZHUB 658E,141,AA6R041001586,74222358-0155,202408914,AA6R041001586,74222358-0155,202408914
34,171,KONICA MINOLTA,BIZHUB C266,171,A90G041000609,,202412706,A90G041000609,,202412706
35,97,PANTUM,BM5100FDW,97,CL5N000054,74222358-0332,202406388,CL5N000054,74222358-0332,202406388
36,131,PANTUM,BM5100FDW,131,CL5N000046,74222358-0342,202416337,CL5N000046,74222358-0342,202416337
37,46,HP,LASERJET MANAGED FLOW MFP E826,46,MXBCQC31QS,74222358-0381,202405536,MXBCQC31QS,74222358-0381,202405536
38,126,PANTUM,BM5100FDW,126,CL5N000003,74222358-0346,,CL5N000003,74222358-0346,
39,103,PANTUM,BM5100FDW,103,CL5N000093,74222358-0337,202414923,CL5N000093,74222358-0337,202414923
40,39,HP,HP LASERJETMFP M426FDW,39,BRBSHB1836,74084100-0110,202412474,BRBSHB1836,74084100-0110,202412474
41,77,PANTUM,BM5100FDW,77,CL5N000071,74222358-0343,202405885,CL5N000071,74222358-0343,202405885
42,92,PANTUM,BM5100FDW,92,CL5N000117,74222358-0330,202406412,CL5N000117,74222358-0330,202406412
43,7,PANTUM,BM5100FDW,7,CL5N000118,74222358-0341,202421415,CL5N000118,74222358-0341,202421415
44,9,PANTUM,BM5100FDW,9,CL5N000044,74222358-0345,202419756,CL5N000044,74222358-0345,202419756
45,8,PANTUM,BM5100FDW,8,CL5N000006,74222358-0349,202416134,CL5N000006,74222358-0349,202416134
46,124,PANTUM,BM5100FDW,124,CL5N000094,74222358-0338,202414740,CL5N000094,74222358-0338,202414740
47,18,PANTUM,BM5100FDW,18,CL5N000127,74222358-0334,202419730,CL5N000127,74222358-0334,202419730
48,132,PANTUM,BM5100FDW,132,CL5N000075,74222358-0347,202416426,CL5N000075,74222358-0347,202416426
49,2,PANTUM,BM5100FDW,2,CL5N000139,742222358-0327,,CL5N000139,742222358-0327,
50,3,PANTUM,BM5100FDW,3,CL5N000053,,,CL5N000053,,
51,10,PANTUM,BM5100FDW,10,CL5N000140,742222358-0335,202415401,CL5N000140,742222358-0335,202415401
52,11,PANTUM,BM5100FDW,11,CL5N000070,,,CL5N000070,,
53,15,PANTUM,BM5100FDW,15,CL5N000023,74222358-0333,202419902,CL5N000023,74222358-0333,202419902
54,24,PANTUM,BM5100FDW,24,CL5N000038,74222358-0328,202419701,CL5N000038,74222358-0328,202419701
55,111,PANTUM,BM5100FDW,111,CL5N000068,74222358-0344,202406904,CL5N000068,74222358-0344,202406904
56,113,PANTUM,BM5100FDW,113,CL5N000028,74222358-0339,202406069,CL5N000028,74222358-0339,202406069
57,145,PANTUM,BM5100FDW,145,CL5N000050,74222358-0348,202415105,CL5N000050,74222358-0348,202415105
58,180,PANTUM,BM5100FDW,180,CL5N000095,74222358-0340,202411216,CL5N000095,74222358-0340,202411216
59,28,OKI,ES8473MFP,28,AL6C047522,74222358-0213,202412040,AL6C047522,74222358-0213,202412040
60,44,CANON,IMAGE RUNNER ADVANCE DX 6855I,44,35X00512,74222358-0316,202405275,35X00512,74222358-0316,202405275
61,55,CANON,IMAGEPRESS SERVER H350,55,A00089230,,202416442,A00089230,,202416442
62,98,CANON,IMAGERUNNER ADANCE DX 68701,98,4DQ00504,74222358-0297,202406520,4DQ00504,74222358-0297,202406520
63,50,CANON,IMAGERUNNER ADVANCE DX 6855I,50,35X00508,74222358-0315,202405396,35X00508,74222358-0315,202405396
64,135,CANON,IMAGERUNNER ADVANCE DX 6855I,135,35X00561,,202408868,35X00561,,202408868
65,49,CANON,IMAGERUNNER ADVANCE DX 6870I,49,3LY00530,74222358-0314,202405643,3LY00530,74222358-0314,202405643
66,68,CANON,IMAGERUNNER ADVANCE DX 6870I,68,3LY00532,74222358-0318,202410341,3LY00532,74222358-0318,202410341
67,161,CANON,IMAGERUNNER ADVANCE DX 6870I,161,4DQ00503,74222358-0310,202408940,4DQ00503,74222358-0310,202408940
68,90,CANON,IMAGERUNNER ADVANCE DX 6870I,90,ZBAB00241532,72222358-0296,202406659,ZBAB00241532,72222358-0296,202406659
69,114,KYOCERA,TASALFA7004I,114,H6H3900243,74222358-0362,202405040,H6H3900243,74222358-0362,202405040
70,38,KYOCERA,TASKALFA 306CI,38,VEV6400057,,202412473,VEV6400057,,202412473
71,26,KYOCERA,TASKALFA 6003I,26,RFQ0803836,74222358-0214,202412263,RFQ0803836,74222358-0214,202412263
72,27,KYOCERA,TASKALFA 6003I,27,RFQ0803839,,202412186,RFQ0803839,,202412186
74,40,KYOCERA,TASKALFA 6003I,40,RFQ0803841,74222358-0216,202412116,RFQ0803841,74222358-0216,202412116
75,107,HP,LASERJET PRO MFP 4103FDW,107,BRBSQD007P,74222358-0306,202414982,BRBSQD007P,74222358-0306,202414982
76,147,KYOCERA,TASKALFA 7003I,147,RU91100636,74222358-0280,202409160,RU91100636,74222358-0280,202409160
77,144,KYOCERA,TASKALFA 7004I,144,H6H3900254,74222358-0365,202415106,H6H3900254,74222358-0365,202415106
78,117,KYOCERA,TASKALFA 7004I,117,H6H3900257,74222358-0367,202408200,H6H3900257,74222358-0367,202408200
79,78,KYOCERA,TASKALFA 7004I,78,H6H3900222,74222358-0357,202405856,H6H3900222,74222358-0357,202405856
80,87,KYOCERA,TASKALFA 7004I,87,H6H3900224,74222358-0358,202406650,H6H3900224,74222358-0358,202406650
81,29,KYOCERA,TASKALFA 7004I,29,H6H3900256,74222358-0366,202412039,H6H3900256,74222358-0366,202412039
82,179,KYOCERA,TASKALFA 7004I,179,H6H3900253,74222358-0364,202411250,H6H3900253,74222358-0364,202411250
83,177,EPSON,L5190,177,X5NS036777,74083650-0058,202416745,X5NS036777,74083650-0058,202416745
84,94,KYOCERA,TASKALFA 7004I,94,H6H3900309,74222358-0378,202406291,H6H3900309,74222358-0378,202406291
85,158,HP,COLOR LASERJET PRO M452DW,158,,74084100-0244,202408414,,74084100-0244,202408414
86,93,KYOCERA,TASKALFA 7004I,93,H6H3900303,74222358-0377,202406411,H6H3900303,74222358-0377,202406411
87,99,KYOCERA,TASKALFA 7004I,99,H6H3900236,74222358-0360,202406519,H6H3900236,74222358-0360,202406519
88,6,KYOCERA,TASKALFA 7004I,6,H6H3900273,,202406733,H6H3900273,,202406733
89,105,KYOCERA,TASKALFA 7004I,105,H6H3900271,,,H6H3900271,,
90,12,FUJITSU,FI-6800,12,A9ECC01742,,202419647,A9ECC01742,,202419647
91,4,KYOCERA,TASKALFA 7004I,4,H6H3900166,,202415294,H6H3900166,,202415294
92,17,TSC,TE200,17,TEA22074619,74084043-0010,202419736,TEA22074619,74084043-0010,202419736
93,19,TSC,TE200,19,TEA22074627,74084043-0009,202419723,TEA22074627,74084043-0009,202419723
94,20,FUJITSU,FI-6800,20,,74080050-0085,202419724,,74080050-0085,202419724
95,21,TSC,TE200,21,TEA22074612,74084043-0007,202436151,TEA22074612,74084043-0007,202436151
96,22,TSC,TE200,22,TEA22074609,74084043-0001,202419710,TEA22074609,74084043-0001,202419710
97,23,FUJITSU,FI-7900,23,,,202419711,,,202419711
98,5,KYOCERA,TASKALFA 7004I,5,H6H3900250,,202415389,H6H3900250,,202415389
100,123,KYOCERA,TASKALFA 7004I,123,H6H3900261,74222358-0369,202414775,H6H3900261,74222358-0369,202414775
101,31,FUJITSU,FI-7900,31,C2WC000859,74080050-0092,202412147,C2WC000859,74080050-0092,202412147
102,33,HP,LASERJET PRO MFP M127FN,33,BRBSG7FVKZ,,202412379,BRBSG7FVKZ,,202412379
103,35,EPSON,L310,35,VHLK004899,,202411760,VHLK004899,,202411760
104,36,HP,HP LASERJET P1102W,36,BRBSB6BG1J,74084100-0125,202411762,BRBSB6BG1J,74084100-0125,202411762
105,37,HP,HP SCANJET 5590,37,CN35HW0V0,74080050-0037,202411766,CN35HW0V0,74080050-0037,202411766
106,130,KYOCERA,TASKALFA 7004I,130,H6H3900258,74222358-0368,202416182,H6H3900258,74222358-0368,202416182
107,42,HP,LASERJET PRO MFP M426FDW,42,BRBSHB182S,,202419527,BRBSHB182S,,202419527
108,43,HP,HP OFFICEJET PRO 251DW,43,CN4COCV020,740836500039,202419259,CN4COCV020,740836500039,202419259
109,45,HP,LASERTJET PRO MFP M426FDW,45,SRBSHBL81T,,202405496,SRBSHBL81T,,202405496
110,47,HP,LASERTJET PRO MFP M426FDW,47,BRBSHB1835,74084100-0104,202405561,BRBSHB1835,74084100-0104,202405561
111,52,HP,HP LASERJET 1536DNF MFP,52,CNB9B84B71,,202409098,CNB9B84B71,,202409098
112,53,HP,HP LASERJET 1536DNF MFP,53,CNB9B84B9R,,202409327,CNB9B84B9R,,202409327
113,54,CANON,IMAGEPRESS C810,54,2NY06022,67505880-0005,202416438,2NY06022,67505880-0005,202416438
114,56,HP,LASERJET PRO 400 MFP M425DN,56,CNF8H7W84D,740841000147,202416468,CNF8H7W84D,740841000147,202416468
