computer_id,name,serial_kept,otherserial_cleared,fecha_backup
110,OGRH-010,MXL5152664,MXL5152664,2026-07-09T20:07:35.566663
134,OGRH-017,MXL32438Z5,MXL32438Z5,2026-07-09T20:07:35.566682
160,DESKTOP-6LL3U0B,5CD042H23X,5CD042H23X,2026-07-09T20:07:35.566685
162,DESKTOP-R5BLB3H,5CD012G2XF,5CD012G2XF,2026-07-09T20:07:35.566686
168,DESKTOP-O42AR6D,5CG0291MPR,5CG0291MPR,2026-07-09T20:07:35.566688
174,PCINIA,MXL5323HRF,MXL5323HRF,2026-07-09T20:07:35.566689
175,DESKTOP-3VEV7RP,MXL5323HPT,MXL5323HPT,2026-07-09T20:07:35.566690
176,INICIOMS,MXL5323F3Z,MXL5323F3Z,2026-07-09T20:07:35.566692
177,DESKTOP-1IFCHRS,MXL5370K7Y,MXL5370K7Y,2026-07-09T20:07:35.566693
178,TESORERIA,MXL5370KK7,MXL5370KK7,2026-07-09T20:07:35.566694
180,DESKTOP-4CNKDGN,MXL5323H1V,MXL5323H1V,2026-07-09T20:07:35.566695
181,EEACANAAN-001,MXL5362Q7F,MXL5362Q7F,2026-07-09T20:07:35.566697
182,DESKTOP-6BBL9TT,MXL5362QPM,MXL5362QPM,2026-07-09T20:07:35.566698
183,DESKTOP-BL4HETA,MXL5241PCB,MXL5241PCB,2026-07-09T20:07:35.566699
184,INICIOMS,MXL5510NQK,MXL5510NQK,2026-07-09T20:07:35.566701
185,PRODUC-01,MXL5362QPY,MXL5362QPY,2026-07-09T20:07:35.566702
187,DESKTOP-FM6MGFD,5CD9025BXT,5CD9025BXT,2026-07-09T20:07:35.566703
190,INICIOMS,MXL35113MM,MXL35113MM,2026-07-09T20:07:35.566704
193,DESKTOP-SG0RP85,MXL5323HR3,MXL5323HR3,2026-07-09T20:07:35.566706
196,DESKTOP-E42M5SO,MXL5370JW3,MXL5370JW3,2026-07-09T20:07:35.566707
198,DESKTOP-M1C55LF,5CG5306ZFB,5CG5306ZFB,2026-07-09T20:07:35.566708
201,INICIOMS,MXL5323F3M,MXL5323F3M,2026-07-09T20:07:35.566709
210,Investigacion,MXL5370JZM,MXL5370JZM,2026-07-09T20:07:35.566711
212,INICIOMS,MXL3243911,MXL3243911,2026-07-09T20:07:35.566712
